edad_meses,dominio,odds_ratio,p_value,ci_lower,ci_upper,significativo
8.0,Motricidad Fina,7.081485587583148,5.0779118519234996e-11,4.192739719995262,11.960541668731233,True
8.0,Resolución de Problemas,4.1617250673854445,2.174432495313005e-05,2.304476290234274,7.515788125007625,True
8.0,Desarrollo Socio-Individual,1.9913793103448276,0.09003553036861779,0.963903692777709,4.1140952020234325,False
9.0,Riesgo Global,0.3402920608802962,0.0013392249704881668,0.1664883334736099,0.6955363434910861,True
9.0,Comunicación,0.0,0.04595868731439486,0.0,,True
9.0,Motricidad Gruesa,0.1633281972265023,0.0023804012222921503,0.03967790863548822,0.6723161811356136,True
9.0,Motricidad Fina,0.7407407407407407,0.8148175431169138,0.2649509825060671,2.0709371967721486,False
9.0,Resolución de Problemas,0.4137745493677697,0.31628139237099734,0.09992718418296596,1.7133413605552792,False
9.0,Desarrollo Socio-Individual,0.42469339947636764,0.3147729356017903,0.10253744555578193,1.7590108918860534,False
10.0,Riesgo Global,0.896969696969697,0.788422762786069,0.5245097680297918,1.5339173573526506,False
10.0,Comunicación,0.2545572916666667,0.262754011330645,0.03493714588098465,1.8547426558944247,False
10.0,Motricidad Gruesa,0.3177095359039483,0.01694632127980225,0.114604019107942,0.8807662243435855,True
10.0,Motricidad Fina,3.779839208410637,6.265212592911013e-05,2.0916944466730842,6.830435709270365,True
10.0,Resolución de Problemas,1.2820227841066962,0.47633125670581156,0.5425776118656693,3.0292116427678932,False
10.0,Desarrollo Socio-Individual,0.1935483870967742,0.08399362985112563,0.02662411037504644,1.407032108117806,False
12.0,Riesgo Global,0.3956422018348624,1.224077733633184e-05,0.25399058394555957,0.6162935233311219,True
12.0,Comunicación,0.0,0.00023857597596126077,0.0,,True
12.0,Motricidad Gruesa,0.46735537190082643,0.007290125611389888,0.2605225564758616,0.8383959016800041,True
12.0,Motricidad Fina,0.6006256517205423,0.21396913881549975,0.28837144857798314,1.2509947683228066,False
12.0,Resolución de Problemas,0.7104622871046229,0.5060991478896782,0.3400553045823602,1.48433697282814,False
12.0,Desarrollo Socio-Individual,0.08154121863799284,0.00030350819710066356,0.01131112407310285,0.5878257805322626,True
14.0,Riesgo Global,0.2690250925545043,3.9645000008370384e-05,0.13299428276567155,0.5441925691759203,True
14.0,Comunicación,0.2218892694063927,0.12227356527394417,0.030510277794269552,1.6137135233475335,False
14.0,Motricidad Gruesa,0.35028422184667385,0.016258273319506727,0.14005336056465909,0.8760877681195145,True
14.0,Motricidad Fina,0.764163372859025,0.8308334304560885,0.30337850145154827,1.924808968418422,False
14.0,Resolución de Problemas,0.33619929453262787,0.168327921346689,0.08152911005088473,1.3863755605046013,False
14.0,Desarrollo Socio-Individual,0.9245169082125604,1.0,0.36602766816447996,2.33515547569706,False
16.0,Riesgo Global,2.2304832713754648,0.002283990643761201,1.3412920514937323,3.709151648476046,True
16.0,Comunicación,0.26758879781420764,0.25604391536089194,0.03669844024338434,1.9511391830490932,False
16.0,Motricidad Gruesa,2.888533834586466,0.0003406067596059537,1.6891616488648065,4.939508139530689,True
16.0,Motricidad Fina,1.6116402116402115,0.24216780670863286,0.7518789397049657,3.454524438196007,False
16.0,Resolución de Problemas,1.3533372365339578,0.4571481379507544,0.5716017320574548,3.204191962814545,False
16.0,Desarrollo Socio-Individual,0.0,0.020330451021745105,0.0,,True
18.0,Riesgo Global,2.008522727272727,0.0020740465652984495,1.2996211907471003,3.104107238857805,True
18.0,Comunicación,0.18909313725490196,0.08675987317871695,0.026049356489107826,1.3726333152165255,False
18.0,Motricidad Gruesa,2.2774809160305343,0.0015293175376705085,1.4109838124214888,3.6761012261236674,True
18.0,Motricidad Fina,3.5771780303030303,1.755147838946306e-05,2.1016994225621217,6.088502724563336,True
18.0,Resolución de Problemas,0.9325819672131147,1.0,0.3986445855939958,2.181665465931722,False
18.0,Desarrollo Socio-Individual,0.0,0.002201466420169562,0.0,,True
20.0,Riesgo Global,1.7877241805813235,0.02379849798624662,1.0939864469249088,2.9213869649104853,True
20.0,Comunicación,1.3727208976157084,0.4220627565539903,0.5388341920848745,3.497110410643838,False
20.0,Motricidad Gruesa,2.3783585735222275,0.0022927823934932308,1.3963659545945326,4.050936279013769,True
20.0,Motricidad Fina,1.4702179176755448,0.36848736377230107,0.6886217073236883,3.1389378267713792,False
20.0,Resolución de Problemas,1.0064253868345134,1.0,0.3972775847406016,2.5495827053176376,False
20.0,Desarrollo Socio-Individual,1.7858901926698536,0.14413316847621122,0.8335348990762445,3.8263590208508216,False
22.0,Riesgo Global,0.39630903972474196,0.001113466273892082,0.2211080720226635,0.7103352380163146,True
22.0,Comunicación,0.8433374166326392,1.0,0.30226351116503913,2.352973389183853,False
22.0,Motricidad Gruesa,0.37579441834760985,0.015248713267591675,0.16213741989280106,0.8709984712633796,True
22.0,Motricidad Fina,0.5267229254571026,0.31163625204295786,0.19013212968135365,1.4591802062442099,False
22.0,Resolución de Problemas,0.4551,0.27811093067221104,0.1416766546432168,1.4618922963813528,False
22.0,Desarrollo Socio-Individual,2.04775828460039,0.046369232574997005,1.0558251799357337,3.971598775854891,True
24.0,Riesgo Global,2.0633713561470217,0.001101650382586283,1.344523367260366,3.1665506580545264,True
24.0,Comunicación,0.9989648033126294,1.0,0.395549462030013,2.5228973214523562,False
24.0,Motricidad Gruesa,2.2942157953281423,0.0010923370572526831,1.4325870334108357,3.674070749475855,True
24.0,Motricidad Fina,2.0923383084577116,0.019251469441785796,1.1513267646816072,3.8024648877596063,True
24.0,Resolución de Problemas,0.2754971720488962,0.0595836639039521,0.06702561528644772,1.132383365412916,False
24.0,Desarrollo Socio-Individual,1.674188222344524,0.14032230994319886,0.8442539115472077,3.3199801215020943,False
27.0,Riesgo Global,0.27170771982936565,7.560842816053801e-06,0.1433448167618218,0.5150174710365634,True
27.0,Comunicación,0.9989648033126294,1.0,0.395549462030013,2.5228973214523562,False
