dominio,grupo_edad,n_total,n_riesgo,prevalencia_pct,odds_ratio,ci_lower,ci_upper,p_value,significativo
Motricidad Fina,12-18m,281,21,7.473309608540925,1.0,1.0,1.0,1.0,False
Motricidad Fina,18-24m,236,32,13.559322033898304,1.942110177404295,1.0872061648951885,3.4692517969128334,0.028546663954687215,True
Motricidad Fina,24-36m,332,22,6.626506024096386,0.8786482334869432,0.47254231392683943,1.6337642057791528,0.7516854117364081,False
Motricidad Fina,36-48m,191,7,3.664921465968586,0.47101449275362317,0.19615057366870606,1.1310425875106564,0.1116315047097258,False
Motricidad Fina,48-60m,168,4,2.380952380952381,0.30197444831591175,0.10183551516874322,0.8954495618213175,0.031380289421650324,True
Motricidad Fina,6-12m,294,47,15.98639455782313,2.355889724310777,1.3685904538334306,4.055425330175962,0.0018071282586198576,True
Motricidad Fina,60m+,59,1,1.694915254237288,0.2134646962233169,0.028141840511885327,1.6191967442381134,0.1438735841186571,False
Resolución de Problemas,0-6m,164,17,10.365853658536585,1.915391156462585,0.9399662854598775,3.9030370971871187,0.09041160480126473,False
Resolución de Problemas,12-18m,281,16,5.6939501779359425,1.0,1.0,1.0,1.0,False
Resolución de Problemas,18-24m,236,14,5.932203389830509,1.044481981981982,0.4987746951480737,2.1872453059414645,1.0,False
Resolución de Problemas,24-36m,332,8,2.4096385542168677,0.4089506172839506,0.17234586985799777,0.9703778078042721,0.05785422308219995,False
Resolución de Problemas,36-48m,191,15,7.853403141361256,1.4115767045454546,0.6804236951868743,2.9283941857259457,0.3519689555880931,False
Resolución de Problemas,48-60m,168,24,14.285714285714285,2.7604166666666665,1.4205535113339602,5.36403599921815,0.0031782588309031664,True
Resolución de Problemas,6-12m,294,26,8.843537414965986,1.6068097014925373,0.842601969393675,3.064124593333661,0.15313340620181684,False
Resolución de Problemas,60m+,59,8,13.559322033898304,2.5980392156862746,1.0562122773232308,6.390578779627385,0.04657412823971595,True
Desarrollo Socio-Individual,0-6m,164,17,10.365853658536585,5.300453514739229,2.045762061864095,13.73317453952172,0.0002537686557580393,True
Desarrollo Socio-Individual,12-18m,281,6,2.135231316725979,1.0,1.0,1.0,1.0,False
Desarrollo Socio-Individual,18-24m,236,19,8.050847457627118,4.013056835637481,1.5755504263281233,10.221586625817567,0.003137008260143507,True
Desarrollo Socio-Individual,24-36m,332,19,5.72289156626506,2.7822151224707135,1.0954959032179403,7.065951561267293,0.03840616456493037,True
Desarrollo Socio-Individual,36-48m,191,19,9.947643979057592,5.062984496124031,1.9828473728076734,12.927778688127326,0.00026498906542144027,True
Desarrollo Socio-Individual,48-60m,168,9,5.357142857142857,2.5943396226415096,0.9066736589573624,7.423396512199993,0.10023738966246255,False
Desarrollo Socio-Individual,6-12m,294,18,6.122448979591836,2.989130434782609,1.1688952863514277,7.643884666549502,0.02073089378906358,True
Desarrollo Socio-Individual,60m+,59,18,30.508474576271187,20.121951219512194,7.548310282677244,53.640206313408264,1.1005905942431924e-10,True
