tipo_analisis,descripcion,edad_meses,dominio,chi2,p_value,odds_ratio,ci_lower,ci_upper,ci_95,p_value_formatted,chi2_formatted,or_formatted
OR Edad-Específico,42.0 meses - Motricidad Gruesa,42.0,Motricidad Gruesa,,2.5647525750248e-05,2.867905541392728,1.8178084905746503,4.524614246768671,(1.82 - 4.52),2.56e-05,N/A,2.87
OR Edad-Específico,42.0 meses - Resolución de Problemas,42.0,Resolución de Problemas,,0.0120505249101662,0.1350214745884037,0.0186533839233347,0.9773453800637656,(0.02 - 0.98),0.012,N/A,0.14
OR Edad-Específico,48.0 meses - Comunicación,48.0,Comunicación,,0.0002827588054737,3.492690763052209,1.89421968273396,6.44006018811047,(1.89 - 6.44),2.83e-04,N/A,3.49
OR Edad-Específico,48.0 meses - Motricidad Gruesa,48.0,Motricidad Gruesa,,0.0079962659969081,0.3470904896180466,0.1500739326594611,0.8027497237422495,(0.15 - 0.80),0.008,N/A,0.35
OR Edad-Específico,48.0 meses - Resolución de Problemas,48.0,Resolución de Problemas,,0.0001679726594616,3.243868868868869,1.8482122729219903,5.693439759373753,(1.85 - 5.69),1.68e-04,N/A,3.24
OR Edad-Específico,48.0 meses - Desarrollo Socio-Individual,48.0,Desarrollo Socio-Individual,,0.0183945298812088,0.1385630498533724,0.0191391431298153,1.003165013942471,(0.02 - 1.00),0.018,N/A,0.14
OR Edad-Específico,54.0 meses - Comunicación,54.0,Comunicación,,0.0110823341736307,2.5970348159253707,1.2929242128510383,5.216539197031488,(1.29 - 5.22),0.011,N/A,2.60
OR Edad-Específico,54.0 meses - Motricidad Gruesa,54.0,Motricidad Gruesa,,0.0291691901395007,0.3975517341882833,0.1712470928231026,0.9229200843682271,(0.17 - 0.92),0.029,N/A,0.40
OR Edad-Específico,54.0 meses - Motricidad Fina,54.0,Motricidad Fina,,0.0119611229642613,0.1307343450200593,0.0180542782839729,0.9466714038077224,(0.02 - 0.95),0.012,N/A,0.13
OR Edad-Específico,60.0 meses - Riesgo Global,60.0,Riesgo Global,,0.0003334486214794,2.6684572410829395,1.5798987724142894,4.507038154480416,(1.58 - 4.51),3.33e-04,N/A,2.67
OR Edad-Específico,60.0 meses - Desarrollo Socio-Individual,60.0,Desarrollo Socio-Individual,,4.7369448899190254e-08,6.396626396170504,3.5537007773401665,11.513864507976445,(3.55 - 11.51),4.74e-08,N/A,6.40
Chi² Global 21 Edades,Análisis global - Riesgo Global,Todas las edades,Riesgo Global,192.50387466213292,3.3991535236993545e-30,,,,N/A,3.40e-30,192.50,N/A
Chi² Global 21 Edades,Análisis global - Comunicación,Todas las edades,Comunicación,76.21007611799628,1.7102247372799875e-08,,,,N/A,1.71e-08,76.21,N/A
Chi² Global 21 Edades,Análisis global - Motricidad Gruesa,Todas las edades,Motricidad Gruesa,176.18519607518618,5.404537567929984e-27,,,,N/A,5.40e-27,176.19,N/A
Chi² Global 21 Edades,Análisis global - Motricidad Fina,Todas las edades,Motricidad Fina,157.8970676827453,1.9107892903453694e-23,,,,N/A,1.91e-23,157.90,N/A
Chi² Global 21 Edades,Análisis global - Resolución de Problemas,Todas las edades,Resolución de Problemas,83.1288025519301,1.1484251848507995e-09,,,,N/A,1.15e-09,83.13,N/A
Chi² Global 21 Edades,Análisis global - Desarrollo Socio-Individual,Todas las edades,Desarrollo Socio-Individual,109.91865535568706,2.03229437831188e-14,,,,N/A,2.03e-14,109.92,N/A
Chi² Grupos Edad,Análisis por grupos - Comunicación,Grupos de edad,Comunicación,57.767443432060574,4.206204545681263e-10,,,,N/A,4.21e-10,57.77,N/A
Chi² Grupos Edad,Análisis por grupos - Motricidad Gruesa,Grupos de edad,Motricidad Gruesa,87.08669214643868,4.899584048093043e-16,,,,N/A,4.90e-16,87.09,N/A
Chi² Grupos Edad,Análisis por grupos - Motricidad Fina,Grupos de edad,Motricidad Fina,47.75485095118764,3.9758886725224384e-08,,,,N/A,3.98e-08,47.75,N/A
Chi² Grupos Edad,Análisis por grupos - Resolución de Problemas,Grupos de edad,Resolución de Problemas,31.86730939828182,4.2981997010249805e-05,,,,N/A,4.30e-05,31.87,N/A
Chi² Grupos Edad,Análisis por grupos - Desarrollo Socio-Individual,Grupos de edad,Desarrollo Socio-Individual,65.68855629982708,1.0933655260834864e-11,,,,N/A,1.09e-11,65.69,N/A
Chi² Grupos Edad,Análisis por grupos - Riesgo Global,Grupos de edad,Riesgo Global,51.12465542360343,8.683163879050629e-09,,,,N/A,8.68e-09,51.12,N/A
